Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,6903,1113,350,11837,710.93,0.000%,22.40957,5709.44,2.54,260891.4
TOTAL,6903,1113,350,11837,710.93,0.000%,22.40957,5709.44,2.54,260891.4
