Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,6903,1113,943,1857,2344,3675,350,11837,0.000%,22.40957,5709.44,2.54
TOTAL,6903,1113,943,1857,2344,3675,350,11837,0.000%,22.40957,5709.44,2.54
